year,type,state,constituencyNo,constituencyName,district,turnout,turnoutTrend,candidateName,candidateNameKn,party,votes,votePercentage,status,criminalCases,seriousCriminalCases,assets,liabilities,education,age,profession,affidavitUrl,sourceUrl
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,S R VISHWANATH,,BJP,141538,51.5,WINNER,,,,,Graduate,60,Politics - MLA; Agriculture,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,KESHAVA RAJANNA B,,INC,77428,28.18,RUNNER-UP,,,,,Graduate,52,Social Work,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,MUNEGOWDA M,,JD(S),44491,16.19,LOST,,,,,12th Pass,46,Business,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,ASHWATH M M,,Uttama Prajaakeeya Party,2944,1.07,LOST,,,,,Graduate Professional,33,Other,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,NOTA,,None of the Above,2238,0.81,LOST,,,,,,,,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,P MANJUNATHA,,AAAP,1597,0.58,LOST,,,,,Literate,57,Business; Social Work - Activist,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,SANDEEP MARASANDRA MUNIYAPPA,,BSP,940,0.34,LOST,,,,,Post Graduate,35,Business,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,S V VISHWANATH,,IND,560,0.2,LOST,,,,,12th Pass,31,Small Business or Self-employed - Self-employed,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,HEMRAJ Y C (Y.V.C.RAJU),,IND,489,0.18,LOST,,,,,8th Pass,45,Business,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
2023,assembly,Karnataka,150,Yelahanka,Bangalore,62.68,0,B LAKSHMAIAH,,IND,362,0.13,LOST,,,,,5th Pass,65,Labourer or Daily Wage,,https://data.opencity.in/dataset/karnataka-assembly-elections-2023/resource/6feb2ac2-33e3-4e63-9fe0-adfdfb3eb6c3
